accession,sample_name,longitude_deg,latitude_deg,country,studies,env_biome,env_feature,env_material
DRS000196,DRS000196,,,,MGYS00000653,,,
DRS001056,soil microbe DNA,,,,MGYS00000624,,,
DRS012638,Active ammonia oxidizers in an acid soil are phylogenetically closely related to neutrophilic Nitrososphaera viennensis,,,,MGYS00000649,,,
DRS014214,Reactor A,,,,MGYS00004316,,,
DRS014215,Reactor B,,,,MGYS00004316,,,
DRS014216,Reactor C,,,,MGYS00004316,,,
DRS014217,Reactor D,,,,MGYS00004316,,,
DRS014218,Blank,,,,MGYS00004316,,,
DRS019399,DRS019399,,,,MGYS00000650,,,
DRS019400,DRS019400,,,,MGYS00000650,,,
DRS019401,DRS019401,,,,MGYS00000650,,,
DRS019402,DRS019402,,,,MGYS00000650,,,
DRS019403,DRS019403,,,,MGYS00000650,,,
DRS019404,DRS019404,,,,MGYS00000650,,,
DRS019405,DRS019405,,,,MGYS00000650,,,
DRS019406,DRS019406,,,,MGYS00000650,,,
DRS019407,DRS019407,,,,MGYS00000650,,,
DRS019408,DRS019408,,,,MGYS00000650,,,
DRS019409,DRS019409,,,,MGYS00000650,,,
DRS019410,DRS019410,,,,MGYS00000650,,,
DRS019418,DRS019418,,,,MGYS00000651,,,
DRS019419,DRS019419,,,,MGYS00000651,,,
DRS019420,DRS019420,,,,MGYS00000651,,,
DRS019421,DRS019421,,,,MGYS00000651,,,
DRS019422,DRS019422,,,,MGYS00000651,,,
DRS019423,DRS019423,,,,MGYS00000651,,,
DRS019424,DRS019424,,,,MGYS00000651,,,
DRS019425,DRS019425,,,,MGYS00000651,,,
DRS019426,DRS019426,,,,MGYS00000651,,,
DRS019827,DRS019827,,,,MGYS00000716,,,
DRS019828,DRS019828,,,,MGYS00000716,,,
DRS019829,DRS019829,,,,MGYS00000716,,,
DRS019830,DRS019830,,,,MGYS00000716,,,
DRS019831,DRS019831,,,,MGYS00000716,,,
DRS019832,DRS019832,,,,MGYS00000716,,,
DRS019833,DRS019833,,,,MGYS00000716,,,
DRS019834,DRS019834,,,,MGYS00000716,,,
DRS019835,DRS019835,,,,MGYS00000716,,,
DRS019836,DRS019836,,,,MGYS00000716,,,
DRS019837,DRS019837,,,,MGYS00000716,,,
DRS019838,DRS019838,,,,MGYS00000716,,,
DRS019839,DRS019839,,,,MGYS00000716,,,
DRS019840,DRS019840,,,,MGYS00000716,,,
DRS019841,DRS019841,,,,MGYS00000716,,,
DRS019842,DRS019842,,,,MGYS00000716,,,
DRS020511,DRS020511,,,,MGYS00000655,,,
DRS020512,DRS020512,,,,MGYS00000655,,,
DRS022562,DRS022562,,,,MGYS00000657,,,
DRS022563,DRS022563,,,,MGYS00000657,,,
DRS022564,DRS022564,,,,MGYS00000657,,,
DRS022565,DRS022565,,,,MGYS00000657,,,
DRS022566,DRS022566,,,,MGYS00000657,,,
DRS022567,DRS022567,,,,MGYS00000657,,,
DRS022568,DRS022568,,,,MGYS00000657,,,
DRS022569,DRS022569,,,,MGYS00000657,,,
DRS022570,DRS022570,,,,MGYS00000657,,,
DRS022571,DRS022571,,,,MGYS00000657,,,
